review,category,sub_category,brand,source,rating,label,country
I've been using this Conditioner for a month and love the results!,Haircare,Conditioner,Pantene,Sephora,1,OR,France
"This Hair Mask worked wonders on my hair, no more frizz.",Haircare,Hair Mask,Pantene,Meesho,5,OR,Korea
"Absolutely amazing Deodorant from Dove, made my skin feel great.",Bodycare,Deodorant,Dove,Myntra,4,OR,Germany
I've been using this Blush for a month and love the results!,Makeup,Blush,Sugar,Myntra,2,OR,Germany
This is the best product in the world. Changed my life completely!,Makeup,Foundation,MAC,Nykaa,3,CG,USA
I've been using this Conditioner for a month and love the results!,Haircare,Conditioner,Tresemme,Myntra,2,OR,France
"This Scrub worked wonders on my hair, no more frizz.",Bodycare,Scrub,Palmolive,Sephora,4,OR,France
"Five stars for no reason, just perfect!",Skincare,Face Wash,Plum,Sephora,1,CG,France
I've been using this Body Wash for a month and love the results!,Bodycare,Body Wash,Biotique,Flipkart,3,OR,France
Great product. Great value. Great delivery. Great brand. Great result.,Makeup,Mascara,Lakmé,Sephora,2,CG,India
"This Body Lotion worked wonders on my hair, no more frizz.",Bodycare,Body Lotion,Nivea,Myntra,4,OR,USA
Highly recommend this Moisturizer to anyone with sensitive skin.,Skincare,Moisturizer,Plum,Nykaa,2,OR,France
Very effective and worth the price. A must-have Mascara.,Makeup,Mascara,MAC,Amazon,4,OR,India
Amazing amazing amazing amazing product. Loved it so much!,Makeup,Foundation,Maybelline,Myntra,1,CG,USA
I've been using this Face Wash for a month and love the results!,Skincare,Face Wash,Neutrogena,Flipkart,2,OR,Korea
I've been using this Hair Mask for a month and love the results!,Haircare,Hair Mask,Wow,Nykaa,2,OR,USA
"This Lipstick worked wonders on my hair, no more frizz.",Makeup,Lipstick,Nykaa,Amazon,3,OR,France
Highly recommend this Shampoo to anyone with sensitive skin.,Haircare,Shampoo,Pantene,Myntra,2,OR,Germany
Highly recommend this Face Wash to anyone with sensitive skin.,Skincare,Face Wash,Cetaphil,Nykaa,5,OR,India
Highly recommend this Lipstick to anyone with sensitive skin.,Makeup,Lipstick,Sugar,Sephora,1,OR,Germany
"Five stars for no reason, just perfect!",Bodycare,Body Wash,Biotique,Flipkart,5,CG,Korea
"Absolutely amazing Deodorant from Biotique, made my skin feel great.",Bodycare,Deodorant,Biotique,Myntra,5,OR,India
"This Mascara worked wonders on my hair, no more frizz.",Makeup,Mascara,Lakmé,Sephora,5,OR,UK
Highly recommend this Sunscreen to anyone with sensitive skin.,Skincare,Sunscreen,The Ordinary,Flipkart,4,OR,UK
"Absolutely amazing Blush from MAC, made my skin feel great.",Makeup,Blush,MAC,Meesho,1,OR,India
"This Hair Mask worked wonders on my hair, no more frizz.",Haircare,Hair Mask,Tresemme,Meesho,2,OR,France
Highly recommend this Serum to anyone with sensitive skin.,Skincare,Serum,The Ordinary,Flipkart,4,OR,Germany
Very effective and worth the price. A must-have Mascara.,Makeup,Mascara,Nykaa,Meesho,3,OR,UK
"Absolutely amazing Mascara from MAC, made my skin feel great.",Makeup,Mascara,MAC,Nykaa,3,OR,UK
Highly recommend this Face Wash to anyone with sensitive skin.,Skincare,Face Wash,Neutrogena,Flipkart,2,OR,Germany
Highly recommend this Lipstick to anyone with sensitive skin.,Makeup,Lipstick,Lakmé,Nykaa,2,OR,India
"Absolutely amazing Hair Oil from L'Oréal, made my skin feel great.",Haircare,Hair Oil,L'Oréal,Amazon,5,OR,Germany
"This Body Lotion worked wonders on my hair, no more frizz.",Bodycare,Body Lotion,Nivea,Meesho,3,OR,UK
You must buy this Shampoo. Don’t think twice!,Haircare,Shampoo,Wow,Sephora,1,CG,France
"Five stars for no reason, just perfect!",Skincare,Face Wash,Cetaphil,Flipkart,2,CG,India
Very effective and worth the price. A must-have Shampoo.,Haircare,Shampoo,Pantene,Sephora,5,OR,USA
"Five stars for no reason, just perfect!",Bodycare,Deodorant,Biotique,Nykaa,5,CG,Korea
I've been using this Face Wash for a month and love the results!,Skincare,Face Wash,Cetaphil,Flipkart,2,OR,USA
"This Conditioner worked wonders on my hair, no more frizz.",Haircare,Conditioner,Pantene,Amazon,2,OR,Germany
"This Scrub worked wonders on my hair, no more frizz.",Bodycare,Scrub,Nivea,Flipkart,3,OR,India
Very effective and worth the price. A must-have Hair Oil.,Haircare,Hair Oil,Pantene,Myntra,2,OR,USA
Highly recommend this Hair Oil to anyone with sensitive skin.,Haircare,Hair Oil,Head & Shoulders,Amazon,1,OR,Korea
Highly recommend this Mascara to anyone with sensitive skin.,Makeup,Mascara,Maybelline,Sephora,3,OR,Korea
"Five stars for no reason, just perfect!",Bodycare,Deodorant,Nivea,Meesho,1,CG,Korea
I've been using this Lipstick for a month and love the results!,Makeup,Lipstick,Maybelline,Flipkart,5,OR,Germany
"This Blush worked wonders on my hair, no more frizz.",Makeup,Blush,Maybelline,Flipkart,4,OR,UK
Highly recommend this Hair Mask to anyone with sensitive skin.,Haircare,Hair Mask,Tresemme,Amazon,4,OR,UK
"This Cleanser worked wonders on my hair, no more frizz.",Skincare,Cleanser,The Ordinary,Sephora,4,OR,Korea
"This Sunscreen worked wonders on my hair, no more frizz.",Skincare,Sunscreen,Cetaphil,Nykaa,3,OR,Korea
Highly recommend this Face Wash to anyone with sensitive skin.,Skincare,Face Wash,Plum,Sephora,1,OR,Korea
Highly recommend this Deodorant to anyone with sensitive skin.,Bodycare,Deodorant,Nivea,Flipkart,3,OR,France
Amazing amazing amazing amazing product. Loved it so much!,Bodycare,Body Lotion,Nivea,Myntra,5,CG,UK
This is the best product in the world. Changed my life completely!,Skincare,Face Wash,Plum,Amazon,2,CG,France
Highly recommend this Cleanser to anyone with sensitive skin.,Skincare,Cleanser,Plum,Myntra,3,OR,France
"Absolutely amazing Deodorant from Dove, made my skin feel great.",Bodycare,Deodorant,Dove,Sephora,5,OR,Korea
Great product. Great value. Great delivery. Great brand. Great result.,Haircare,Shampoo,Wow,Sephora,3,CG,UK
You must buy this Moisturizer. Don’t think twice!,Skincare,Moisturizer,The Ordinary,Meesho,5,CG,USA
You must buy this Deodorant. Don’t think twice!,Bodycare,Deodorant,Vaseline,Nykaa,5,CG,France
"This Foundation worked wonders on my hair, no more frizz.",Makeup,Foundation,Lakmé,Meesho,4,OR,India
I've been using this Mascara for a month and love the results!,Makeup,Mascara,Sugar,Sephora,2,OR,USA
This is the best product in the world. Changed my life completely!,Makeup,Lipstick,Sugar,Amazon,5,CG,Germany
"Five stars for no reason, just perfect!",Haircare,Hair Mask,Head & Shoulders,Amazon,4,CG,UK
Highly recommend this Body Lotion to anyone with sensitive skin.,Bodycare,Body Lotion,Vaseline,Myntra,5,OR,Germany
Highly recommend this Body Lotion to anyone with sensitive skin.,Bodycare,Body Lotion,Palmolive,Amazon,2,OR,USA
Highly recommend this Sunscreen to anyone with sensitive skin.,Skincare,Sunscreen,Cetaphil,Myntra,1,OR,India
"Absolutely amazing Moisturizer from Cetaphil, made my skin feel great.",Skincare,Moisturizer,Cetaphil,Nykaa,3,OR,USA
"This Body Wash worked wonders on my hair, no more frizz.",Bodycare,Body Wash,Dove,Flipkart,1,OR,Korea
Highly recommend this Hair Mask to anyone with sensitive skin.,Haircare,Hair Mask,Pantene,Flipkart,2,OR,France
"This Lipstick worked wonders on my hair, no more frizz.",Makeup,Lipstick,Sugar,Nykaa,5,OR,UK
"This Mascara worked wonders on my hair, no more frizz.",Makeup,Mascara,MAC,Sephora,3,OR,France
Highly recommend this Cleanser to anyone with sensitive skin.,Skincare,Cleanser,Plum,Meesho,3,OR,India
You must buy this Scrub. Don’t think twice!,Bodycare,Scrub,Nivea,Meesho,1,CG,UK
"Absolutely amazing Hair Oil from Head & Shoulders, made my skin feel great.",Haircare,Hair Oil,Head & Shoulders,Myntra,2,OR,Germany
"Absolutely amazing Serum from The Ordinary, made my skin feel great.",Skincare,Serum,The Ordinary,Sephora,1,OR,India
Very effective and worth the price. A must-have Eyeliner.,Makeup,Eyeliner,Sugar,Flipkart,2,OR,UK
Highly recommend this Foundation to anyone with sensitive skin.,Makeup,Foundation,MAC,Sephora,3,OR,India
Great product. Great value. Great delivery. Great brand. Great result.,Bodycare,Body Lotion,Dove,Flipkart,4,CG,UK
Highly recommend this Sunscreen to anyone with sensitive skin.,Skincare,Sunscreen,Cetaphil,Nykaa,5,OR,Germany
"Absolutely amazing Blush from Sugar, made my skin feel great.",Makeup,Blush,Sugar,Myntra,3,OR,France
I've been using this Face Wash for a month and love the results!,Skincare,Face Wash,Mamaearth,Nykaa,5,OR,Germany
I've been using this Scrub for a month and love the results!,Bodycare,Scrub,Biotique,Amazon,2,OR,UK
"This Body Lotion worked wonders on my hair, no more frizz.",Bodycare,Body Lotion,Nivea,Flipkart,5,OR,UK
Great product. Great value. Great delivery. Great brand. Great result.,Bodycare,Body Wash,Biotique,Myntra,1,CG,France
"Absolutely amazing Lipstick from MAC, made my skin feel great.",Makeup,Lipstick,MAC,Flipkart,4,OR,UK
Highly recommend this Moisturizer to anyone with sensitive skin.,Skincare,Moisturizer,Mamaearth,Myntra,3,OR,USA
Very effective and worth the price. A must-have Sunscreen.,Skincare,Sunscreen,Cetaphil,Myntra,2,OR,India
Very effective and worth the price. A must-have Moisturizer.,Skincare,Moisturizer,Neutrogena,Flipkart,5,OR,USA
"Absolutely amazing Conditioner from Wow, made my skin feel great.",Haircare,Conditioner,Wow,Flipkart,5,OR,USA
Highly recommend this Foundation to anyone with sensitive skin.,Makeup,Foundation,Maybelline,Myntra,1,OR,USA
"This Lipstick worked wonders on my hair, no more frizz.",Makeup,Lipstick,Lakmé,Nykaa,1,OR,Korea
I've been using this Serum for a month and love the results!,Skincare,Serum,Plum,Sephora,3,OR,France
I've been using this Shampoo for a month and love the results!,Haircare,Shampoo,Pantene,Nykaa,4,OR,India
"This Deodorant worked wonders on my hair, no more frizz.",Bodycare,Deodorant,Biotique,Myntra,1,OR,India
Very effective and worth the price. A must-have Moisturizer.,Skincare,Moisturizer,Mamaearth,Flipkart,1,OR,Germany
Very effective and worth the price. A must-have Mascara.,Makeup,Mascara,Nykaa,Meesho,3,OR,France
"Absolutely amazing Serum from Mamaearth, made my skin feel great.",Skincare,Serum,Mamaearth,Myntra,2,OR,France
Highly recommend this Mascara to anyone with sensitive skin.,Makeup,Mascara,Sugar,Sephora,1,OR,Germany
I've been using this Eyeliner for a month and love the results!,Makeup,Eyeliner,Lakmé,Myntra,4,OR,India
Very effective and worth the price. A must-have Body Lotion.,Bodycare,Body Lotion,Vaseline,Flipkart,5,OR,Korea
This is the best product in the world. Changed my life completely!,Makeup,Lipstick,Sugar,Nykaa,4,CG,UK
"This Eyeliner worked wonders on my hair, no more frizz.",Makeup,Eyeliner,Maybelline,Meesho,5,OR,USA
Great product. Great value. Great delivery. Great brand. Great result.,Skincare,Moisturizer,Mamaearth,Nykaa,1,CG,USA
Highly recommend this Body Lotion to anyone with sensitive skin.,Bodycare,Body Lotion,Palmolive,Myntra,3,OR,Germany
Great product. Great value. Great delivery. Great brand. Great result.,Makeup,Eyeliner,MAC,Amazon,2,CG,Germany
Very effective and worth the price. A must-have Body Lotion.,Bodycare,Body Lotion,Dove,Myntra,1,OR,USA
Highly recommend this Deodorant to anyone with sensitive skin.,Bodycare,Deodorant,Biotique,Nykaa,2,OR,Korea
I've been using this Serum for a month and love the results!,Skincare,Serum,Neutrogena,Flipkart,5,OR,UK
"Absolutely amazing Deodorant from Biotique, made my skin feel great.",Bodycare,Deodorant,Biotique,Meesho,4,OR,Korea
Very effective and worth the price. A must-have Moisturizer.,Skincare,Moisturizer,Plum,Amazon,3,OR,France
"Absolutely amazing Lipstick from Lakmé, made my skin feel great.",Makeup,Lipstick,Lakmé,Sephora,5,OR,UK
"This Conditioner worked wonders on my hair, no more frizz.",Haircare,Conditioner,Wow,Nykaa,3,OR,Germany
Very effective and worth the price. A must-have Body Wash.,Bodycare,Body Wash,Dove,Sephora,5,OR,Korea
"This Lipstick worked wonders on my hair, no more frizz.",Makeup,Lipstick,Sugar,Myntra,1,OR,India
"This Blush worked wonders on my hair, no more frizz.",Makeup,Blush,Sugar,Meesho,4,OR,UK
Great product. Great value. Great delivery. Great brand. Great result.,Skincare,Sunscreen,Cetaphil,Nykaa,2,CG,France
"This Lipstick worked wonders on my hair, no more frizz.",Makeup,Lipstick,Sugar,Amazon,2,OR,Korea
"Absolutely amazing Sunscreen from The Ordinary, made my skin feel great.",Skincare,Sunscreen,The Ordinary,Myntra,3,OR,India
"Absolutely amazing Face Wash from Mamaearth, made my skin feel great.",Skincare,Face Wash,Mamaearth,Flipkart,3,OR,USA
I've been using this Cleanser for a month and love the results!,Skincare,Cleanser,The Ordinary,Flipkart,2,OR,USA
Very effective and worth the price. A must-have Deodorant.,Bodycare,Deodorant,Palmolive,Meesho,4,OR,Germany
Highly recommend this Eyeliner to anyone with sensitive skin.,Makeup,Eyeliner,Lakmé,Sephora,1,OR,UK
I've been using this Moisturizer for a month and love the results!,Skincare,Moisturizer,Mamaearth,Amazon,3,OR,India
Very effective and worth the price. A must-have Eyeliner.,Makeup,Eyeliner,Maybelline,Myntra,1,OR,France
"This Body Lotion worked wonders on my hair, no more frizz.",Bodycare,Body Lotion,Biotique,Meesho,2,OR,Korea
This is the best product in the world. Changed my life completely!,Haircare,Shampoo,Tresemme,Amazon,3,CG,Korea
Great product. Great value. Great delivery. Great brand. Great result.,Haircare,Shampoo,Head & Shoulders,Myntra,4,CG,Korea
Highly recommend this Hair Oil to anyone with sensitive skin.,Haircare,Hair Oil,Wow,Nykaa,4,OR,Germany
"This Moisturizer worked wonders on my hair, no more frizz.",Skincare,Moisturizer,Cetaphil,Nykaa,1,OR,UK
"Absolutely amazing Blush from Lakmé, made my skin feel great.",Makeup,Blush,Lakmé,Nykaa,1,OR,UK
"This Mascara worked wonders on my hair, no more frizz.",Makeup,Mascara,Lakmé,Meesho,1,OR,Germany
I've been using this Foundation for a month and love the results!,Makeup,Foundation,Nykaa,Amazon,4,OR,UK
"Absolutely amazing Foundation from Lakmé, made my skin feel great.",Makeup,Foundation,Lakmé,Nykaa,4,OR,USA
Great product. Great value. Great delivery. Great brand. Great result.,Skincare,Moisturizer,Cetaphil,Meesho,5,CG,India
"Absolutely amazing Blush from Lakmé, made my skin feel great.",Makeup,Blush,Lakmé,Meesho,4,OR,Germany
"Absolutely amazing Hair Mask from L'Oréal, made my skin feel great.",Haircare,Hair Mask,L'Oréal,Sephora,3,OR,France
"This Mascara worked wonders on my hair, no more frizz.",Makeup,Mascara,Lakmé,Meesho,2,OR,USA
Great product. Great value. Great delivery. Great brand. Great result.,Makeup,Blush,Sugar,Sephora,3,CG,Korea
This is the best product in the world. Changed my life completely!,Bodycare,Body Wash,Dove,Meesho,2,CG,Germany
"Five stars for no reason, just perfect!",Bodycare,Scrub,Palmolive,Amazon,5,CG,India
This is the best product in the world. Changed my life completely!,Haircare,Hair Oil,Tresemme,Meesho,2,CG,USA
Highly recommend this Scrub to anyone with sensitive skin.,Bodycare,Scrub,Nivea,Sephora,1,OR,USA
I've been using this Body Lotion for a month and love the results!,Bodycare,Body Lotion,Vaseline,Flipkart,1,OR,Germany
You must buy this Foundation. Don’t think twice!,Makeup,Foundation,Lakmé,Amazon,3,CG,Germany
This is the best product in the world. Changed my life completely!,Haircare,Hair Mask,Tresemme,Meesho,1,CG,UK
I've been using this Conditioner for a month and love the results!,Haircare,Conditioner,Pantene,Myntra,5,OR,UK
Very effective and worth the price. A must-have Hair Oil.,Haircare,Hair Oil,L'Oréal,Amazon,2,OR,France
Very effective and worth the price. A must-have Serum.,Skincare,Serum,Plum,Meesho,5,OR,Korea
"Absolutely amazing Conditioner from Wow, made my skin feel great.",Haircare,Conditioner,Wow,Sephora,1,OR,Korea
Very effective and worth the price. A must-have Body Wash.,Bodycare,Body Wash,Nivea,Meesho,3,OR,Korea
"Five stars for no reason, just perfect!",Skincare,Sunscreen,Plum,Amazon,4,CG,Germany
I've been using this Moisturizer for a month and love the results!,Skincare,Moisturizer,Cetaphil,Nykaa,2,OR,Korea
"Absolutely amazing Foundation from Maybelline, made my skin feel great.",Makeup,Foundation,Maybelline,Nykaa,5,OR,Germany
"This Deodorant worked wonders on my hair, no more frizz.",Bodycare,Deodorant,Dove,Flipkart,1,OR,India
Highly recommend this Foundation to anyone with sensitive skin.,Makeup,Foundation,Maybelline,Flipkart,1,OR,Korea
I've been using this Deodorant for a month and love the results!,Bodycare,Deodorant,Vaseline,Amazon,2,OR,Germany
You must buy this Eyeliner. Don’t think twice!,Makeup,Eyeliner,Maybelline,Nykaa,4,CG,France
Very effective and worth the price. A must-have Foundation.,Makeup,Foundation,Sugar,Myntra,4,OR,UK
Amazing amazing amazing amazing product. Loved it so much!,Skincare,Sunscreen,Cetaphil,Sephora,5,CG,Korea
Highly recommend this Eyeliner to anyone with sensitive skin.,Makeup,Eyeliner,Maybelline,Amazon,3,OR,France
Highly recommend this Body Wash to anyone with sensitive skin.,Bodycare,Body Wash,Biotique,Nykaa,4,OR,Korea
"Absolutely amazing Scrub from Nivea, made my skin feel great.",Bodycare,Scrub,Nivea,Amazon,4,OR,India
Highly recommend this Hair Mask to anyone with sensitive skin.,Haircare,Hair Mask,L'Oréal,Flipkart,1,OR,UK
"Five stars for no reason, just perfect!",Bodycare,Body Lotion,Palmolive,Flipkart,4,CG,France
Highly recommend this Face Wash to anyone with sensitive skin.,Skincare,Face Wash,Neutrogena,Meesho,3,OR,USA
Very effective and worth the price. A must-have Serum.,Skincare,Serum,Neutrogena,Sephora,5,OR,India
"This Eyeliner worked wonders on my hair, no more frizz.",Makeup,Eyeliner,Sugar,Flipkart,5,OR,USA
You must buy this Cleanser. Don’t think twice!,Skincare,Cleanser,Cetaphil,Sephora,2,CG,India
Highly recommend this Eyeliner to anyone with sensitive skin.,Makeup,Eyeliner,Maybelline,Meesho,5,OR,USA
Amazing amazing amazing amazing product. Loved it so much!,Haircare,Hair Oil,Pantene,Flipkart,1,CG,USA
Very effective and worth the price. A must-have Body Lotion.,Bodycare,Body Lotion,Vaseline,Meesho,5,OR,USA
"This Serum worked wonders on my hair, no more frizz.",Skincare,Serum,The Ordinary,Sephora,4,OR,Korea
Very effective and worth the price. A must-have Cleanser.,Skincare,Cleanser,The Ordinary,Myntra,1,OR,UK
This is the best product in the world. Changed my life completely!,Haircare,Conditioner,Head & Shoulders,Sephora,5,CG,India
Amazing amazing amazing amazing product. Loved it so much!,Haircare,Hair Oil,Head & Shoulders,Flipkart,3,CG,UK
Highly recommend this Lipstick to anyone with sensitive skin.,Makeup,Lipstick,MAC,Flipkart,5,OR,Korea
Very effective and worth the price. A must-have Face Wash.,Skincare,Face Wash,Neutrogena,Meesho,5,OR,Germany
Very effective and worth the price. A must-have Blush.,Makeup,Blush,Maybelline,Amazon,1,OR,UK
Very effective and worth the price. A must-have Hair Mask.,Haircare,Hair Mask,Pantene,Myntra,1,OR,UK
I've been using this Mascara for a month and love the results!,Makeup,Mascara,Lakmé,Myntra,4,OR,Germany
Highly recommend this Cleanser to anyone with sensitive skin.,Skincare,Cleanser,Plum,Sephora,4,OR,Korea
Amazing amazing amazing amazing product. Loved it so much!,Haircare,Hair Oil,Wow,Myntra,3,CG,UK
"Absolutely amazing Moisturizer from Neutrogena, made my skin feel great.",Skincare,Moisturizer,Neutrogena,Sephora,1,OR,USA
"Absolutely amazing Serum from The Ordinary, made my skin feel great.",Skincare,Serum,The Ordinary,Sephora,5,OR,UK
Highly recommend this Foundation to anyone with sensitive skin.,Makeup,Foundation,Lakmé,Sephora,5,OR,France
Amazing amazing amazing amazing product. Loved it so much!,Skincare,Serum,Plum,Meesho,4,CG,Korea
"This Lipstick worked wonders on my hair, no more frizz.",Makeup,Lipstick,Maybelline,Nykaa,4,OR,UK
"This Serum worked wonders on my hair, no more frizz.",Skincare,Serum,Plum,Flipkart,3,OR,UK
Very effective and worth the price. A must-have Sunscreen.,Skincare,Sunscreen,Cetaphil,Meesho,5,OR,UK
Very effective and worth the price. A must-have Sunscreen.,Skincare,Sunscreen,Mamaearth,Sephora,5,OR,Germany
"Five stars for no reason, just perfect!",Skincare,Cleanser,Cetaphil,Sephora,3,CG,Korea
I've been using this Foundation for a month and love the results!,Makeup,Foundation,Lakmé,Meesho,5,OR,India
Very effective and worth the price. A must-have Cleanser.,Skincare,Cleanser,The Ordinary,Sephora,5,OR,Korea
Very effective and worth the price. A must-have Hair Oil.,Haircare,Hair Oil,Pantene,Nykaa,2,OR,Germany
Very effective and worth the price. A must-have Blush.,Makeup,Blush,MAC,Meesho,5,OR,UK
Great product. Great value. Great delivery. Great brand. Great result.,Bodycare,Body Lotion,Vaseline,Nykaa,1,CG,UK
I've been using this Face Wash for a month and love the results!,Skincare,Face Wash,Plum,Nykaa,5,OR,Korea
You must buy this Body Wash. Don’t think twice!,Bodycare,Body Wash,Palmolive,Myntra,5,CG,USA
"This Shampoo worked wonders on my hair, no more frizz.",Haircare,Shampoo,Pantene,Myntra,1,OR,UK
Very effective and worth the price. A must-have Body Wash.,Bodycare,Body Wash,Biotique,Myntra,2,OR,France
